,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-06,2.2083332538604736,2.3125,2.1875,2.25,2.25,1243200,AMZN,1.0715952,2.3177082538604736,-1.1784048080444336,0.0
1997-08-07,2.25,2.2604167461395264,2.125,2.1770832538604736,2.1770832538604736,2034000,AMZN,0.98111993,2.375,-1.1959633231163025,0.0
1997-08-18,2.0520832538604736,2.0520832538604736,1.96875,2.0416667461395264,2.0416667461395264,1784400,AMZN,0.5961792,3.2395832538604736,-1.4454875588417053,0.0
1997-08-19,2.09375,2.2083332538604736,2.0520832538604736,2.1666667461395264,2.1666667461395264,1003200,AMZN,0.8256813,3.3020832538604736,-1.3409854173660278,0.0
1997-08-21,2.1354167461395264,2.171875,2.0729167461395264,2.1145832538604736,2.1145832538604736,624000,AMZN,0.53715986,3.6874999999999996,-1.5774233937263489,0.0
1997-09-05,2.5833332538604736,2.6666667461395264,2.4583332538604736,2.5,2.5,1908000,AMZN,0.5931809,4.166666507720947,-1.9068191051483154,0.0
1997-09-08,2.53125,3.0208332538604736,2.5,3.0,3.0,5648400,AMZN,0.5818715,4.041666507720947,-2.418128490447998,0.0
1997-09-10,3.3125,3.328125,3.125,3.3020832538604736,3.3020832538604736,3866400,AMZN,-0.5136684,4.020833492279053,-3.8157516717910767,0.0
1997-09-12,3.1875,3.6979167461395264,3.15625,3.6875,3.6875,3333600,AMZN,0.023554865,4.015625,-3.663945134729147,0.0
1997-09-15,3.6666667461395264,3.6770832538604736,3.0520832538604736,3.09375,3.09375,5583600,AMZN,-0.3976812,4.125,-3.4914312064647675,0.0
1997-09-17,3.4583332538604736,3.5,3.3333332538604736,3.40625,3.40625,2607600,AMZN,0.6365775,4.005208492279053,-2.7696725130081177,0.0
1997-09-22,4.0,4.677083492279053,3.9479167461395264,4.5,4.5,16938000,AMZN,0.30108252,4.0,0.0,4.198917478322983
1997-09-29,4.145833492279053,4.1875,3.9583332538604736,4.041666507720947,4.041666507720947,2371200,AMZN,1.5789932,3.8229167461395264,0.0,2.462673306465149
1997-10-06,4.0,4.125,3.9427082538604736,4.125,4.125,2028000,AMZN,3.4645085,4.270833492279053,-0.6604914665222168,0.0
1997-10-17,3.6145832538604736,3.65625,3.5208332538604736,3.625,3.625,2534400,AMZN,2.2756526,4.479166507720947,-1.3493473529815674,0.0
1997-10-21,3.9583332538604736,4.4375,3.8541667461395264,4.427083492279053,4.427083492279053,12096000,AMZN,1.5862523,3.9479167461395264,0.0,2.840831160545349
1997-10-31,5.364583492279053,5.458333492279053,4.96875,5.083333492279053,5.083333492279053,5026800,AMZN,1.3508061,4.489583492279053,0.0,3.7325273752212524
1997-11-05,4.979166507720947,5.119791507720947,4.875,4.875,4.875,3093600,AMZN,3.3653538,4.260416507720947,0.0,1.5096461772918701
1997-11-07,4.416666507720947,4.640625,4.385416507720947,4.479166507720947,4.479166507720947,2626800,AMZN,3.1431108,4.270833492279053,0.0,1.3360557556152344
1997-11-17,4.229166507720947,4.541666507720947,4.21875,4.375,4.375,7394400,AMZN,1.7257525,4.6875,-2.6492475271224976,0.0
1997-11-18,4.375,4.479166507720947,4.34375,4.416666507720947,4.416666507720947,1866000,AMZN,1.5622658,4.510416507720947,-2.8544007539749146,0.0
1997-11-20,4.572916507720947,4.604166507720947,4.510416507720947,4.583333492279053,4.583333492279053,5923200,AMZN,2.3598158,4.541666507720947,0.0,2.223517656326294
1997-12-02,4.260416507720947,4.302083492279053,4.177083492279053,4.234375,4.234375,1262400,AMZN,2.8331277,4.625,-1.401247262954712,0.0
1997-12-04,4.401041507720947,4.552083492279053,4.385416507720947,4.5,4.5,3038400,AMZN,3.237163,4.520833492279053,-1.2628369331359863,0.0
1997-12-16,4.645833492279053,4.645833492279053,4.458333492279053,4.458333492279053,4.458333492279053,1687200,AMZN,2.996404,4.614583492279053,-1.4619295597076416,0.0
1997-12-18,4.354166507720947,4.427083492279053,4.229166507720947,4.291666507720947,4.291666507720947,3204000,AMZN,1.5523766,4.302083492279053,-2.739289879798889,0.0
1998-01-08,4.697916507720947,4.703125,4.53125,4.614583492279053,4.614583492279053,6015600,AMZN,2.2981138,4.916666507720946,-2.316469669342041,0.0
1998-01-21,4.9375,5.166666507720947,4.875,5.072916507720947,5.072916507720947,8738400,AMZN,1.441071,5.291666507720947,-3.631845474243164,0.0
1998-01-27,4.817708492279053,4.864583492279053,4.666666507720947,4.75,4.75,4104000,AMZN,1.661999,5.072916507720947,-3.088001012802124,0.0
1998-02-18,5.145833492279053,5.145833492279053,5.052083492279053,5.072916507720947,5.072916507720947,2971200,AMZN,3.0504787,6.635416507720946,-2.022437810897827,0.0
1998-02-20,5.229166507720947,5.291666507720947,5.114583492279053,5.270833492279053,5.270833492279053,2703600,AMZN,3.187612,6.557291507720947,-2.083221435546875,0.0
1998-02-23,5.291666507720947,5.416666507720947,5.208333492279053,5.40625,5.40625,3978000,AMZN,3.694642,6.583333492279052,-1.7116079330444336,0.0
