,vote_avg,protest_avg,election_avg
2021-01-11,-0.042335000000000005,-0.03945,0.021515
2021-01-10,-0.061795,-0.258725,-0.04739
2021-01-09,-0.17846499999999998,-0.14398000000000005,-0.18235
2021-01-08,-0.147315,-0.3620700000000001,-0.153045
2021-01-07,-0.33845000000000003,-0.361915,-0.23840499999999998
2021-01-06,0.05834500000000001,-0.27163000000000004,-0.05462
2021-01-05,-0.09968,-0.30756999999999995,-0.004394999999999987
2021-01-04,0.07661,-0.16450500000000004,-0.06446
2021-01-03,0.04914,-0.4615500000000001,-0.17305500000000004
2021-01-02,-0.15558999999999998,-0.20167,-0.14188500000000004
2021-01-01,0.07502000000000003,-0.247605,0.024284999999999994
2020-12-31,-0.136875,-0.311,-0.077385
2020-12-30,-0.03620999999999999,-0.15121499999999996,-0.06708499999999999
2020-12-29,0.2819750000000001,-0.111845,-0.002514999999999995
2020-12-28,-0.00852,-0.196625,0.01756
2020-12-27,-0.049325,0.023039999999999988,0.009139999999999999
2020-12-26,-0.02195,-0.047895000000000014,-0.12041500000000001
2020-12-25,0.00535000000000001,-0.174265,0.06213500000000001
2020-12-24,0.046504999999999984,-0.16974000000000006,0.003549999999999995
2020-12-23,-0.018744999999999998,-0.27343500000000004,-0.04447500000000001
2020-12-22,-0.098025,-0.195915,-0.24228
2020-12-21,-0.08700000000000001,-0.21625500000000003,-0.04583000000000001
2020-12-20,-0.11188,-0.08251,-0.16923000000000002
2020-12-19,0.073495,-0.19166000000000005,-0.12460500000000001
2020-12-18,0.11423499999999999,-0.22721500000000006,-0.019994999999999985
2020-12-17,-0.08627499999999999,-0.351225,0.14868
2020-12-16,0.11265499999999998,-0.052365000000000016,-0.31117
2020-12-15,0.07923,-0.242655,0.007649999999999995
2020-12-14,0.033894999999999995,-0.3720800000000001,0.0014450000000000018
2020-12-13,-0.07612000000000001,-0.2702600000000001,-0.193975
2020-12-12,-0.044585,-0.140785,0.07172999999999999
