Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,46.700001,51.740002,46.540001,51.209999,51.209999,24147200
2020-12-11,50.619999,52.450001,49.970001,51.439999,51.439999,18020200
2020-12-14,51.970001,53.480000,51.799999,52.020000,52.020000,17418200
2020-12-15,52.020000,52.959999,51.610001,52.820000,52.820000,10868700
2020-12-16,54.770000,56.110001,53.639999,54.029999,54.029999,29099400
2020-12-17,54.570000,55.169998,53.939999,54.630001,54.630001,11739900
2020-12-18,54.930000,56.080002,54.270000,55.869999,55.869999,20450300
2020-12-21,54.500000,55.680000,53.580002,54.639999,54.639999,10349400
2020-12-22,55.000000,55.680000,54.369999,54.910000,54.910000,9259200
2020-12-23,55.340000,55.450001,54.230000,54.299999,54.299999,6008600
2020-12-24,54.520000,55.189999,53.860001,53.970001,53.970001,3661100
2020-12-28,55.000000,55.180000,53.930000,54.430000,54.430000,6829600
2020-12-29,54.509998,55.400002,53.549999,54.360001,54.360001,6644800
2020-12-30,54.689999,54.910000,54.139999,54.330002,54.330002,5329500
2020-12-31,54.240002,54.310001,53.740002,54.150002,54.150002,4825200
2021-01-04,54.490002,55.490002,53.580002,54.529999,54.529999,12231600
2021-01-05,53.410000,54.500000,53.150002,53.880001,53.880001,8317200
2021-01-06,53.270000,54.520000,52.570000,53.259998,53.259998,9260000
2021-01-07,52.220001,53.380001,51.459999,52.330002,52.330002,18967600
2021-01-08,52.500000,52.700001,50.189999,51.480000,51.480000,16955400
2021-01-11,47.090000,49.490002,45.150002,48.180000,48.180000,61647600
