,vote_avg,protest_avg
2021-01-11,-0.042335,-0.03945
2021-01-10,-0.061795,-0.258725
2021-01-09,-0.17846499999999998,-0.14398000000000005
2021-01-08,-0.147315,-0.36207000000000006
2021-01-07,-0.33845000000000003,-0.36191500000000004
2021-01-06,0.058345,-0.27163
2021-01-05,-0.09967999999999999,-0.30757
2021-01-04,0.07661,-0.16450500000000004
2021-01-03,0.049139999999999996,-0.46155000000000007
2021-01-02,-0.15558999999999998,-0.20166999999999996
2021-01-01,0.07502000000000002,-0.24760500000000002
2020-12-31,-0.136875,-0.311
2020-12-30,-0.036209999999999985,-0.15121499999999996
2020-12-29,0.2819750000000001,-0.111845
2020-12-28,-0.00852,-0.196625
2020-12-27,-0.049325,0.023039999999999988
2020-12-26,-0.02195,-0.04789500000000001
2020-12-25,0.00535000000000001,-0.174265
2020-12-24,0.04650499999999998,-0.16974000000000003
2020-12-23,-0.018744999999999994,-0.27343500000000004
2020-12-22,-0.098025,-0.19591499999999998
2020-12-21,-0.08700000000000001,-0.216255
2020-12-20,-0.11188000000000001,-0.08251
2020-12-19,0.073495,-0.19166000000000005
2020-12-18,0.114235,-0.22721500000000003
2020-12-17,-0.08627499999999999,-0.351225
2020-12-16,0.11265499999999998,-0.05236500000000001
2020-12-15,0.07923,-0.24265499999999998
2020-12-14,0.033894999999999995,-0.3720800000000001
2020-12-13,-0.07612000000000001,-0.27026000000000006
2020-12-12,-0.044585,-0.140785
2020-12-11,0.009669999999999998,-0.290645
